gentau_vis_px,gentau_vis_py,gentau_vis_pz,gentau_vis_e,genmet_px,genmet_py,boson_mass
-40.868336,115.63442,12.981869,123.329185,44.99792,-150.4118,894.9255
222.23953,-173.33315,-169.41641,328.8415,-218.8504,192.95296,979.847
80.46153,-55.9619,-170.80295,196.925,-386.34787,287.54312,1157.3346
-50.2659,-78.128654,123.45481,154.5052,228.8328,367.0811,994.47046
83.9711,204.57697,-286.83752,362.18594,-112.65123,-240.49,1008.65845
-137.4003,49.433792,-161.52846,217.74757,143.9788,-52.13349,1000.8103
-45.64972,-184.56667,267.1539,327.90237,58.523586,241.3291,1020.23517
-50.7062,-65.639244,-261.54782,274.38458,154.86324,269.54248,990.97546
67.92513,-101.05082,-10.653798,122.223625,-162.91196,263.8051,1007.97217
81.15957,267.2736,105.58739,298.61475,-97.06757,-355.76736,969.2816
-10.650693,400.55823,729.30164,832.1305,10.492326,-380.97382,879.26105
-276.8204,-92.32951,-580.3235,649.5611,322.09714,95.545784,992.384
96.64174,-136.58023,-550.1411,575.02094,-120.852295,174.1543,960.5171
107.22835,62.18735,97.09791,157.45859,-120.95263,-51.74673,1000.8299
