tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
-56.99868,80.106186,-13.372703,100.017975,111.45166,47.383015
-44.012894,85.72655,-70.90139,121.07339,177.07253,-72.794525
-337.48788,-190.50806,-404.024,561.5649,-159.89412,0.060332723
51.72364,-137.9008,13.445676,148.0072,-16.6562,-160.68875
-101.757126,0.5621193,60.898983,118.589745,-129.9573,-81.11121
-121.74661,-218.82938,-84.330086,267.9702,267.6346,-248.67664
120.64187,-92.07611,-8.780312,152.8407,48.662506,-139.503
-148.19043,503.44702,1105.46,1228.8009,203.08679,29.203054
-48.448883,-73.70326,-50.224876,101.735886,-32.018612,-127.582794
-37.231655,85.28859,50.80789,106.46313,-2.4144692,-165.65141
37.11035,-296.13492,53.983406,304.86496,-240.04256,266.0132
93.47977,-6.805732,-46.23962,105.760216,-120.895164,27.299412
-56.97568,80.28941,47.425842,110.05135,151.62723,-44.637577
-80.787346,-87.00181,-120.53603,169.9731,-356.53186,-70.55574
-0.38156924,183.39328,-350.41516,395.8894,98.38071,103.45677
285.1618,-77.6536,-9.966087,296.1596,58.05112,-156.52618
-67.87879,54.478188,401.46695,410.9131,126.35327,-185.0204
-452.182,-244.92142,-734.28564,905.08923,-203.74197,-143.99162
-10.262584,-79.72251,18.263355,83.881935,129.02176,-23.4138
73.66385,234.20856,149.75996,293.73804,109.821526,-102.01688
-140.11736,49.71851,-543.3199,563.60956,281.2576,130.91533
-53.928253,-137.65938,466.90903,490.11237,-128.60487,-143.81174
-4.786578,101.07011,97.89988,141.3152,297.46613,-15.088629
-62.075806,-78.83692,-7.2028956,101.21058,-86.24748,124.166245
92.35356,-35.892494,-213.8707,235.96277,345.19516,211.63718
82.06717,338.31635,-243.5859,427.4129,58.22007,146.24861
-383.612,274.1887,-158.5725,499.98087,-202.15065,149.52995
-76.33001,41.341743,380.8173,390.99734,-251.6384,-198.77817
99.902756,-74.69036,-29.7518,130.8416,68.93428,-233.98245
-205.87987,238.72421,-311.83636,443.61765,-74.88811,119.647675
-108.429245,22.248503,10.644114,113.28712,-238.76086,46.08493
-17.779032,-166.17989,335.29535,374.89426,-18.24521,-190.42361
-298.1515,135.33092,1248.1409,1291.1294,115.533035,-33.82067
-97.64991,-19.05676,68.54791,121.72394,-99.197235,-128.05559
