tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
271.9047,-118.48766,-73.82831,305.65305,-285.65668,119.859245
154.2749,16.707672,345.95764,379.19028,-160.74504,-38.141754
-145.81367,163.33339,-1143.0387,1163.82,156.36179,-175.30884
-6.284818,431.50873,448.00687,622.0535,60.387974,389.38867
261.0339,257.76215,146.80313,395.1344,-252.67355,-242.9371
215.08919,-103.2861,607.35126,652.54065,-195.77904,99.25049
260.81213,-24.966028,-99.523834,280.2717,-239.68039,15.057253
57.192245,311.84198,-520.99994,609.8834,-40.633297,-306.5385
97.7502,125.77217,91.00436,183.45444,-97.895615,-126.852776
-16.322634,-337.54672,326.15753,469.6626,22.938297,314.5695
-437.71103,-153.1375,52.106705,466.65277,438.49646,184.52086
-363.30936,-147.10033,-644.2131,754.128,369.454,155.61446
-59.982567,193.6236,-149.23723,251.71367,31.501005,-188.1262
-292.036,-90.03587,-91.79192,319.19302,297.7011,73.39316
-342.0953,7.160435,466.09357,578.2073,340.80792,-13.704638
127.02543,4.1150613,74.95849,147.5506,-122.93525,3.237739
-183.48222,-73.09687,198.7009,280.20386,184.81342,68.83777
-178.33386,-192.79651,-206.80876,334.28033,175.67892,199.69643
-302.0475,-323.2731,118.26699,457.958,300.75525,334.1827
126.2107,97.03602,363.19702,396.82477,-123.17126,-122.272644
-78.826584,-109.05671,-536.4941,553.2407,64.05899,112.30374
-213.50336,-52.660084,52.25219,226.02597,210.42418,46.331223
-3.300015,-267.24554,1104.3495,1136.2303,-10.9977665,271.1187
312.60696,107.368484,-118.00444,350.9834,-287.78546,-95.107124
-348.1277,-75.04816,64.70553,361.96158,347.61047,73.47175
-238.25917,-87.304306,101.84925,273.429,260.99823,79.67096
142.12932,310.77417,861.7593,927.5755,-146.27646,-312.29456
-217.74754,198.85982,81.9901,306.07452,222.22726,-197.9114
-220.61328,271.96155,271.31778,442.99734,229.92355,-282.06622
214.09058,232.8753,1279.8326,1318.3728,-213.9864,-241.41013
-97.53579,155.28069,438.87024,475.64575,97.54842,-166.23543
183.3435,-172.24437,624.56976,673.3292,-172.95634,171.48792
13.313101,-333.4555,-390.98123,514.18524,-26.724958,358.10806
-285.812,63.323208,-225.214,369.35202,273.93927,-51.906742
218.46172,24.36162,42.439903,223.87956,-218.45222,-17.725042
166.06651,5.67939,681.96344,701.92303,-146.55374,-8.733217
-206.13159,-133.85196,808.4624,844.9963,215.10867,117.436
97.98475,-259.74448,-19.671316,278.3077,-95.975006,257.14926
50.766758,-162.85434,-86.79941,191.46379,-54.206947,157.09764
-277.92758,369.24725,118.27579,477.05573,280.73654,-364.983
141.94263,-4.845805,-11.282943,142.47559,-134.65372,13.719307
303.04105,58.234783,-120.94298,332.01907,-298.7816,-60.428234
297.51074,137.09755,1349.6055,1388.9019,-302.85095,-134.79085
-133.15741,262.48218,769.14325,823.5375,136.70717,-260.37497
172.99011,-231.34682,678.23883,737.1957,-147.74391,218.72374
146.43997,116.18296,-422.8643,462.35052,-129.12839,-124.72779
-67.95352,293.96274,-235.75192,382.9204,74.43348,-309.15726
178.65886,176.15425,-118.40464,277.43616,-208.7194,-143.21771
-92.365005,-112.4416,-109.20925,181.94014,91.18805,100.462135
133.6852,-83.23424,-104.86502,189.19926,-132.0279,82.93476
-187.50984,-133.58731,12.828038,232.12648,194.50606,120.4487
321.88712,208.04839,392.26605,548.4295,-318.332,-207.64983
-190.5937,191.05357,-166.88098,317.29843,192.96342,-193.6002
269.54788,83.175156,594.3988,657.9442,-263.144,-77.18035
-174.42862,145.35219,-193.09998,298.06476,178.1469,-119.92532
96.93005,-359.1284,-165.68619,407.21198,-102.087166,380.0925
-103.81615,340.32327,410.20517,543.0157,115.45647,-340.55545
25.111353,-243.99841,780.54706,818.2879,-20.7674,244.37431
93.62114,-287.57205,327.45798,445.81046,-91.90723,290.87357
203.54285,-170.74333,113.2947,288.87857,-176.71532,170.45021
173.50836,-268.76205,625.3273,702.4067,-166.4687,269.7379
65.21085,131.9968,427.37976,452.05817,-53.032864,-125.34585
305.87228,-298.3792,674.0763,800.0329,-311.41382,280.24896
-388.3944,87.84344,-199.23758,445.26852,366.5999,-82.21627
180.5213,-142.08075,-146.39656,272.41177,-167.12675,135.96526
-180.94382,59.579,-394.43756,438.05133,176.36089,-58.73335
100.95481,-445.8104,-532.4889,701.77325,-102.36626,446.4782
-188.82788,52.979805,3.0299053,196.14561,178.38768,-54.766426
-17.135582,253.95285,-897.7819,933.17206,23.92707,-273.42517
9.959586,216.22272,-26.32242,218.0472,5.4483066,-221.53873
6.4841924,-92.03667,362.89523,374.44058,50.32358,245.7391
57.006115,-199.29277,105.45641,232.5701,-32.997215,176.17029
-230.08357,203.49069,-321.56732,444.69595,214.23161,-174.15369
-29.850048,451.72192,415.7291,615.79144,24.82696,-463.18222
312.92435,-383.50006,289.4929,573.5155,-302.59814,383.177
24.565325,-125.8133,53.964672,139.1407,-120.306335,260.03873
464.36307,19.439993,363.48682,590.0304,-471.31134,-20.597666
336.77896,70.18565,139.14915,371.0923,-334.78262,-69.20263
80.523964,130.0467,-40.047157,158.11638,-95.33198,-134.97266
2.898993,-293.36768,-91.25947,307.24948,-17.561678,291.1939
-268.41455,-2.5148623,-866.1819,906.8341,276.20184,2.832215
-273.16284,-59.833878,403.385,490.8514,270.39542,57.59869
221.52905,-144.41772,183.913,322.15802,-205.24355,126.6119
347.18378,-81.043434,55.034744,360.74533,-344.31943,73.27261
-281.28857,-253.02834,193.4905,425.10358,282.13177,229.36429
-255.14546,-248.73344,-18.607454,356.81192,253.17528,244.12714
-181.30188,-131.05988,-687.39856,722.8865,182.31876,132.50455
387.79916,-194.11205,677.2794,804.2261,-374.45453,176.6421
-91.958595,97.0884,-160.04324,208.56503,253.96024,-159.93675
-188.75188,161.35437,334.65317,417.10834,197.3059,-177.09814
242.9023,-314.2081,603.69507,722.61847,-245.12646,316.44818
-249.718,-145.58337,-144.7102,323.25674,240.46115,148.03036
-282.7649,104.69809,746.1935,804.8296,292.9676,-82.33172
172.77512,70.95549,-912.2054,931.13165,-174.3201,-58.86966
-73.22196,199.87296,-47.472786,218.09576,93.20159,-186.06393
108.766884,-233.54807,161.29192,303.96158,-124.63613,251.27216
322.1434,-239.1107,-851.3379,941.14386,-320.97034,236.02596
-293.56195,-439.5566,-873.2786,1020.85,279.68857,442.0869
155.31445,251.96149,712.74347,771.77405,-143.99979,-245.9312
39.062607,-332.03992,-1283.0946,1325.9623,-45.66224,332.3531
-334.84613,363.53232,32.918686,495.34134,315.60764,-359.13205
301.7378,-211.99445,-279.17032,464.47845,-303.1723,211.41573
